"filename", "language", "Properties", "Ignore", "JavaScript", "Markdown", "TypeScript", "JSON with Comments", "SCSS", "Vue", "HTML", "JSON", "XML", "CSS", "comment", "blank", "total"
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\scss\variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 5, 21
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\shims-tsx.d.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 2, 14
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\shims-vue.d.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\shims-vuetify.d.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\store\index.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\store\modules\Authentication.ts", "TypeScript", 0, 0, 0, 0, 148, 0, 0, 0, 0, 0, 0, 0, 9, 28, 185
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\store\modules\CookieAndStorage.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\store\modules\NavigationMod.ts", "TypeScript", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 23, 24, 114
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\admin\userCarlist.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 311, 0, 0, 0, 0, 1, 24, 336
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\admin\userList.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 251, 0, 0, 0, 0, 2, 24, 277
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\authentication\confirmaccount.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\authentication\forgotpassword.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\authentication\logout.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\authentication\register.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 195, 0, 0, 0, 0, 2, 17, 214
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\authentication\resetpassword.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\authentication\validation.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 7, 77
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\entreprises\concessionnaire.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 203, 0, 0, 0, 0, 0, 16, 219
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\entreprises\entreprises.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\entreprises\mecano.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\profil\profil.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 630, 0, 0, 0, 0, 3, 9, 642
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\views\calendar.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\views\home.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 4, 4, 70
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\views\legal.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\views\news.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\views\rules.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 6, 61
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\views\sessions.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 390, 0, 0, 0, 0, 0, 38, 428
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\src\views\views\test.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 3, 15
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 11, 1, 41
"c:\Users\Dercraker\Documents\GuanajuatoRP\WebApp\guanajuato-rp\vue.config.js", "JavaScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"Total", "-", 23, 1, 271, 77, 991, 29, 39, 2650, 56, 31179, 88, 11, 330, 413, 36158
